unique_id,url_length,n_redirection,phishing
139,31,0,0
140,48,0,0
141,101,0,1
142,41,0,0
143,43,0,1
144,15,0,0
145,42,2,0
146,51,1,0
147,48,0,1
148,49,0,0
149,25,0,1
150,49,0,0
151,48,1,0
152,108,1,1
153,39,0,1
154,80,2,0
155,36,2,0
156,28,0,0
157,33,0,1
158,23,0,0
159,77,0,0
160,342,0,1
161,38,0,1
162,73,2,0
163,33,0,0
164,67,0,1
165,39,1,0
166,24,0,0
167,26,0,0
168,39,0,0
169,62,1,1
170,41,1,1
171,40,0,1
172,51,0,0
173,59,1,0
174,50,0,0
175,52,1,1
176,43,1,1
177,94,1,1
178,60,1,0
179,18,1,0
180,204,0,1
181,94,1,1
182,41,2,1
183,19,0,1
184,35,0,1
185,63,0,1
186,53,1,1
187,75,0,1
188,35,1,1
189,210,0,1
190,44,0,0
191,150,0,1
192,39,1,1
193,64,0,1
194,106,0,1
195,34,0,1
196,65,0,0
197,60,0,1
198,25,2,1
199,39,1,0
200,38,0,0
201,129,0,1
202,52,0,0
203,30,0,1
204,33,0,0
205,118,1,0
206,27,1,0
207,78,0,0
208,35,1,1
209,32,2,1
210,64,0,1
211,38,0,1
212,24,0,0
213,68,1,0
214,126,0,1
215,41,0,0
216,48,0,0
217,29,0,0
218,24,0,0
219,50,0,0
220,126,1,1
221,39,0,0
222,102,1,1
223,31,0,0
224,86,0,1
225,78,0,0
226,29,0,0
227,33,2,0
228,27,0,1
229,24,0,0
230,39,0,0
231,28,0,0
232,102,0,1
233,43,1,0
234,27,1,0
235,101,1,0
236,60,0,0
237,38,1,0
238,19,0,1
239,137,0,0
240,263,0,1
241,22,1,1
242,89,0,1
243,28,0,0
244,49,1,0
245,45,0,1
246,30,1,1
247,54,0,1
248,29,1,0
249,86,0,1
250,26,0,1
251,83,0,0
252,49,1,1
253,33,2,0
254,40,1,0
255,56,0,0
256,27,0,0
257,70,1,0
258,128,0,1
259,25,2,1
260,33,0,0
261,52,0,0
262,31,0,0
263,41,0,1
264,33,0,0
265,32,0,1
266,66,0,0
267,85,0,0
268,52,0,0
269,109,0,0
270,84,1,0
271,110,1,1
272,171,0,1
273,17,0,0
274,19,0,0
275,98,1,1
276,32,4,1
277,28,0,0
278,64,0,1
279,40,0,0
280,132,1,1
281,124,1,1
282,51,0,1
283,141,0,1
284,126,1,1
285,21,0,0
286,53,0,0
287,27,0,0
288,76,0,1
289,79,2,0
290,77,1,1
291,35,0,0
292,56,0,0
293,49,0,0
294,41,1,0
295,84,1,1
296,29,0,0
297,21,0,0
298,35,0,0
299,28,0,0
300,97,0,1
301,36,0,1
302,63,1,0
303,24,0,0
304,40,1,1
305,85,0,1
306,56,0,1
307,49,0,1
308,23,0,1
309,64,0,1
310,46,0,1
311,36,0,1
312,29,0,0
313,55,1,1
314,45,1,0
315,33,1,0
316,231,0,1
317,30,1,1
318,31,0,0
319,27,0,0
320,81,1,1
321,58,0,0
322,28,0,0
323,25,0,0
324,87,0,1
325,28,0,0
326,133,1,0
327,26,0,0
328,36,1,1
329,29,0,1
330,37,0,1
331,33,0,0
332,47,1,0
333,26,0,0
334,93,0,1
335,44,1,0
336,34,0,1
337,63,1,0
338,56,0,1
339,28,0,1
340,51,0,0
341,50,0,1
342,70,2,0
343,41,0,0
344,74,1,0
345,26,0,0
346,114,0,0
347,49,2,1
348,26,0,0
349,42,0,0
350,28,1,0
351,29,0,0
352,32,2,0
353,34,0,1
354,51,0,1
355,78,0,0
356,43,4,1
357,154,1,1
358,35,0,0
359,54,1,0
360,35,0,0
361,25,0,0
362,27,0,0
363,61,0,1
364,41,1,1
365,47,0,1
366,19,0,0
367,38,0,0
368,64,1,0
369,271,1,1
370,50,0,1
371,80,0,0
372,67,0,1
373,282,0,1
374,144,1,1
375,52,2,1
376,28,0,0
377,50,0,0
378,60,1,0
379,87,0,0
380,35,0,1
381,102,0,1
382,63,0,0
383,36,0,1
384,21,0,0
385,238,0,1
386,36,0,1
387,38,0,0
388,88,2,1
389,29,1,1
390,27,1,1
391,101,0,1
392,18,0,0
393,27,0,1
394,28,1,0
395,36,1,1
396,53,0,0
397,66,0,1
398,35,0,1
399,27,3,1
400,21,0,1
401,123,0,0
402,47,0,0
403,59,0,0
404,15,4,1
405,26,1,0
406,82,0,1
407,77,0,0
408,38,1,1
409,39,1,1
410,42,1,0
411,33,0,0
412,53,1,1
413,44,0,0
414,23,1,0
415,17,0,0
416,26,1,0
417,129,0,1
418,42,1,1
419,52,1,0
420,27,0,0
421,43,2,0
422,28,0,0
423,97,0,0
424,28,0,1
425,27,0,0
426,35,0,1
427,62,0,0
428,127,1,1
429,29,0,1
430,33,0,1
431,72,1,0
432,33,0,0
433,40,1,0
434,61,0,1
435,51,3,0
436,44,0,0
437,259,1,1
438,57,2,1
439,31,0,0
440,47,0,1
441,93,1,0
442,49,1,0
443,22,0,0
444,45,0,0
445,105,1,1
446,109,0,1
447,40,0,0
448,24,3,1
449,37,1,1
450,152,0,0
451,124,0,1
452,35,1,1
453,126,1,1
454,51,1,0
455,126,0,1
456,49,1,0
457,46,0,0
458,31,0,0
459,45,1,0
460,36,0,0
461,56,0,0
462,54,1,0
463,76,1,1
464,29,0,0
465,70,1,1
466,22,1,1
467,46,1,0
468,53,1,0
469,105,1,1
470,64,0,0
471,29,0,0
472,47,1,0
473,126,0,1
474,37,0,0
475,42,1,0
476,15,1,0
477,44,1,0
478,71,0,0
479,72,1,1
480,48,1,0
481,29,0,0
482,71,0,0
483,32,0,0
484,59,0,1
485,55,1,1
486,26,0,0
487,32,0,1
488,34,1,0
489,115,2,0
490,33,0,1
491,74,1,0
492,77,1,1
493,18,0,0
494,62,0,0
495,56,1,0
496,53,0,1
497,27,1,0
498,84,0,1
499,56,1,1
500,552,0,0
501,110,0,0
502,102,1,1
503,32,1,0
504,99,0,0
505,19,0,0
506,34,1,0
507,103,1,0
508,45,0,1
509,31,1,1
510,24,0,0
511,76,0,1
512,393,1,1
513,45,1,1
514,36,0,1
515,409,3,1
516,76,1,1
517,24,0,0
518,49,1,0
519,40,1,0
520,29,0,0
521,22,0,1
522,34,0,0
523,121,0,1
524,64,2,0
525,38,0,0
526,25,0,0
527,50,1,1
528,89,0,1
529,58,1,0
530,29,0,0
531,30,0,0
532,71,2,0
533,44,0,1
534,58,1,0
535,56,0,0
536,42,0,1
537,36,1,0
538,38,1,0
539,33,0,1
540,35,1,1
541,47,0,1
542,26,0,0
543,29,0,1
544,32,0,0
545,67,0,0
546,27,0,0
547,106,0,1
548,70,1,0
549,163,0,1
550,31,0,0
551,85,0,1
552,44,0,1
553,54,2,1
554,54,0,0
555,29,0,0
556,38,0,0
557,20,0,0
558,27,1,0
559,22,2,1
560,63,0,0
561,73,2,0
562,81,1,1
563,216,0,1
564,83,0,1
565,30,0,0
566,25,0,0
567,38,0,1
568,68,0,1
569,71,0,1
570,23,0,0
571,37,1,1
572,28,0,0
573,43,0,1
574,36,0,0
575,50,1,1
576,44,1,1
577,128,1,1
578,58,1,0
579,66,0,0
580,241,1,1
581,44,1,0
582,18,1,0
583,39,0,1
584,46,0,0
585,51,1,1
586,25,0,0
587,37,0,0
588,52,1,0
589,26,0,0
590,25,0,0
591,34,1,1
592,56,0,1
593,32,0,0
594,26,0,1
595,77,1,1
596,57,0,1
597,59,0,1
598,102,1,1
599,39,0,1
600,35,0,0
601,28,0,1
602,30,1,1
603,101,1,0
604,30,0,0
605,44,0,1
606,39,0,1
607,90,1,0
608,34,1,1
609,36,0,1
610,37,0,0
611,39,1,0
612,42,0,1
613,48,0,1
614,75,0,1
615,25,0,0
616,50,1,0
617,92,0,1
618,31,1,1
619,25,0,0
620,41,1,1
621,22,0,0
622,76,0,1
623,40,2,0
624,51,0,1
625,60,0,0
626,33,1,0
627,131,0,1
628,68,0,1
629,51,0,1
630,45,4,1
631,67,0,0
632,24,0,0
633,92,1,1
634,34,1,1
635,54,2,0
636,40,1,1
637,70,1,0
638,18,0,1
639,126,1,1
640,24,0,0
641,54,0,0
642,66,0,0
643,29,0,0
644,22,0,1
645,78,1,0
646,98,1,1
647,44,2,0
648,124,0,1
649,45,0,0
650,48,0,1
651,28,2,1
652,63,0,0
653,58,1,0
654,51,0,1
655,23,1,0
656,23,0,0
657,58,1,0
658,54,0,1
659,392,1,1
660,78,1,0
661,57,1,0
662,46,0,1
663,43,0,1
664,51,0,1
665,53,2,1
666,57,1,1
667,30,0,0
668,46,1,0
669,192,0,1
670,18,0,0
671,33,1,1
672,22,0,0
673,28,0,0
674,28,0,0
675,77,1,1
676,64,0,1
677,58,1,0
678,47,0,1
679,17,0,0
680,68,2,0
681,21,0,0
682,172,0,1
683,19,0,0
684,50,1,1
685,58,0,1
686,78,0,1
687,61,2,0
688,28,0,0
689,21,0,0
690,44,1,0
691,46,0,0
692,32,0,1
693,34,1,1
694,187,0,1
695,66,1,1
696,70,0,1
697,25,1,1
698,54,0,1
699,42,0,0
700,62,1,0
701,77,1,1
702,74,1,1
703,128,0,1
704,123,1,1
705,43,1,0
706,29,0,0
707,91,1,0
708,25,0,0
709,103,0,0
710,24,0,0
711,260,0,1
712,163,0,1
713,49,1,0
714,25,1,0
715,34,0,1
716,70,0,1
717,44,0,1
718,76,0,1
719,21,0,0
720,65,1,0
721,35,0,0
722,53,2,0
723,77,0,1
724,25,0,0
725,229,0,1
726,43,0,0
727,71,0,1
728,49,1,1
729,44,0,1
730,66,0,0
731,56,1,1
732,39,1,1
733,42,2,0
734,24,0,0
735,31,0,0
736,113,1,0
737,113,0,1
738,33,0,0
739,29,0,0
740,81,0,0
741,30,0,1
742,49,0,1
743,60,0,0
744,22,0,1
745,260,0,1
746,47,3,1
747,32,1,0
748,21,0,0
749,38,1,0
750,33,0,1
751,31,1,1
752,37,1,1
753,86,0,1
754,126,1,1
755,87,2,0
756,25,0,1
757,53,0,1
758,45,1,0
759,154,0,1
760,40,0,0
761,38,1,1
762,28,0,0
763,31,0,1
764,58,2,0
765,18,1,0
766,76,1,1
767,77,1,1
768,95,1,1
769,27,0,0
770,56,0,1
771,30,1,0
772,39,1,0
773,48,0,1
774,36,0,1
775,85,0,1
776,46,1,0
777,96,1,0
778,31,1,1
779,72,1,0
780,41,0,0
781,439,0,1
782,44,1,1
783,73,2,0
784,32,0,1
785,42,1,0
786,38,0,1
787,48,0,0
788,19,0,1
789,54,0,1
790,116,1,1
791,101,0,1
792,48,2,1
793,57,0,0
794,21,1,0
795,120,0,1
796,25,0,0
797,32,0,1
798,25,0,0
799,111,2,1
800,66,0,1
801,48,1,1
802,23,1,1
803,127,1,1
804,24,0,0
805,47,1,1
806,46,0,0
807,69,1,0
808,37,0,0
809,63,3,1
810,30,0,0
811,43,0,0
812,32,0,1
813,50,1,0
814,44,1,0
815,27,0,0
816,105,1,1
817,45,1,1
818,32,0,0
819,57,1,0
820,21,0,0
821,155,0,1
822,21,1,1
823,47,1,1
824,36,0,1
825,65,0,0
826,23,1,0
827,46,0,1
828,31,0,0
829,54,1,1
830,30,0,0
831,63,2,0
832,65,0,0
833,65,0,1
834,136,1,1
835,45,0,1
836,48,0,1
837,29,0,0
838,44,1,1
839,48,0,0
840,24,0,0
841,22,1,0
842,41,0,0
843,73,0,1
844,69,0,1
845,29,0,0
846,57,1,0
847,46,1,0
848,124,0,1
849,30,0,1
850,66,0,0
851,69,0,1
852,98,2,0
853,63,0,0
854,37,1,1
855,28,1,0
856,61,0,1
857,51,1,0
858,31,0,0
859,21,0,0
860,101,1,1
861,26,0,1
862,77,0,1
863,28,0,0
864,69,2,1
865,34,0,0
866,46,0,1
867,31,0,0
868,121,0,0
869,66,0,1
870,53,0,1
871,22,0,0
872,30,1,0
873,59,0,0
874,53,1,1
875,22,0,0
876,24,1,1
877,28,0,0
878,71,1,0
879,37,0,0
880,27,0,0
881,21,0,0
882,62,0,0
883,29,1,1
884,70,0,1
885,110,0,1
886,46,1,0
887,53,1,0
888,99,0,1
889,26,0,0
890,63,1,0
891,32,1,1
892,53,1,0
893,74,0,0
894,31,2,1
895,45,1,0
896,50,1,1
897,83,0,0
898,167,1,1
899,29,1,1
900,41,0,1
901,54,1,0
902,77,1,0
903,54,0,0
904,51,1,0
905,28,0,0
906,40,0,1
907,42,1,1
908,49,0,0
909,77,1,1
910,127,0,1
911,47,0,1
912,102,0,1
913,262,0,1
914,48,1,0
915,56,1,0
916,60,1,0
917,34,0,0
918,43,1,0
919,40,0,1
920,56,0,1
921,75,1,1
922,40,0,1
923,36,0,0
924,127,1,1
925,21,0,0
926,35,1,0
927,40,0,1
928,51,0,0
929,72,1,0
930,24,0,0
931,71,0,1
932,55,1,1
933,120,0,1
934,99,1,0
935,56,1,1
936,60,0,1
937,42,1,0
938,238,1,1
939,183,2,1
940,246,0,0
941,34,0,0
942,54,0,1
943,55,1,0
944,53,0,0
945,33,0,0
946,25,1,0
947,36,0,0
948,93,2,0
949,29,0,1
950,40,1,0
951,163,1,1
952,27,1,0
953,58,0,1
954,60,0,0
955,77,1,1
956,43,1,0
957,47,1,1
958,17,1,0
959,37,2,1
960,24,1,0
961,22,0,0
962,51,1,0
963,66,0,1
964,27,1,0
965,30,0,1
966,52,0,0
967,25,0,0
968,32,0,0
969,136,1,1
970,31,1,0
971,31,0,0
972,51,0,1
973,163,0,1
974,31,0,0
975,266,0,1
976,61,1,1
977,41,1,1
978,54,0,1
979,31,0,0
980,91,1,0
981,53,0,1
982,83,0,1
983,76,1,0
984,71,1,1
985,45,0,1
986,34,0,1
987,28,0,1
988,55,0,1
989,30,0,0
990,23,0,0
991,23,1,0
992,33,0,1
993,68,0,1
994,45,1,1
995,53,1,1
996,118,0,1
997,74,0,0
998,49,0,1
999,115,0,0
1000,20,0,0
1001,35,0,1
1002,59,1,1
1003,70,0,1
1004,105,1,1
1005,92,2,1
1006,49,1,1
1007,63,0,0
1008,62,1,1
1009,38,0,0
1010,34,1,0
1011,67,0,1
1012,19,0,0
1013,66,1,1
1014,75,0,1
1015,117,0,1
1016,22,0,1
1017,91,1,1
1018,63,1,0
1019,128,0,1
1020,52,0,1
1021,15,0,0
1022,41,0,0
1023,35,2,0
1024,32,0,1
1025,25,1,1
1026,50,0,0
1027,33,0,0
1028,83,0,1
1029,23,1,0
1030,73,0,0
1031,18,0,1
1032,34,0,0
1033,40,1,1
1034,29,1,1
1035,119,1,1
1036,82,0,1
1037,47,1,1
1038,27,1,0
1039,44,2,0
1040,49,0,1
1041,67,1,0
1042,28,0,1
1043,49,0,0
1044,29,0,1
1045,159,0,1
1046,21,0,1
1047,197,0,1
1048,126,1,1
1049,25,0,0
1050,89,0,0
1051,76,1,0
1052,29,0,0
1053,68,0,1
1054,40,0,1
1055,54,0,0
1056,37,0,1
1057,28,0,0
1058,44,0,1
1059,128,0,1
1060,36,0,0
1061,35,1,0
1062,47,0,1
1063,40,0,1
1064,33,0,0
1065,28,1,1
1066,27,0,1
1067,39,0,0
1068,40,2,0
1069,29,1,1
1070,27,0,0
1071,25,0,0
1072,243,0,1
1073,50,0,1
1074,30,0,0
1075,60,1,0
1076,72,0,1
1077,77,1,1
1078,30,0,0
1079,34,1,1
1080,27,1,0
1081,35,0,0
1082,40,0,0
1083,32,0,1
1084,47,0,1
1085,98,2,1
1086,22,0,0
1087,66,1,0
1088,32,1,1
1089,20,2,1
1090,21,0,1
1091,48,1,0
1092,51,0,1
1093,34,0,0
1094,62,1,0
1095,57,0,0
1096,83,3,0
1097,33,1,0
1098,29,0,0
1099,24,0,0
1100,23,0,0
1101,53,0,0
1102,23,1,0
1103,34,0,0
1104,62,2,0
1105,68,0,1
1106,55,0,0
1107,59,1,0
1108,157,0,1
1109,53,2,1
1110,23,1,0
1111,51,0,1
1112,41,0,0
1113,50,1,1
1114,57,0,1
1115,137,1,0
1116,26,0,0
1117,126,0,1
1118,76,0,1
1119,43,0,0
1120,25,0,0
1121,23,0,0
1122,57,0,1
1123,59,0,1
1124,51,0,0
1125,42,0,1
1126,127,1,1
1127,72,1,0
1128,88,0,1
1129,49,0,0
1130,19,1,0
1131,29,0,0
1132,46,0,1
1133,132,1,0
1134,28,0,1
1135,48,0,0
1136,81,2,0
1137,76,1,1
1138,42,1,0
1139,52,0,0
1140,42,1,0
1141,56,0,1
1142,28,1,0
1143,23,0,0
1144,37,1,0
1145,65,1,0
1146,132,0,1
1147,31,0,0
1148,42,1,1
1149,109,0,1
1150,117,0,1
1151,18,0,0
1152,38,1,0
1153,339,1,1
1154,118,1,1
1155,24,0,0
1156,48,1,0
1157,26,0,0
1158,82,2,0
1159,51,1,0
1160,52,1,1
1161,40,2,0
1162,68,1,1
1163,48,0,0
1164,31,0,1
1165,108,1,1
1166,25,0,1
1167,21,1,1
1168,24,0,0
1169,26,1,0
1170,38,1,1
1171,68,1,1
1172,73,0,1
1173,34,0,1
1174,32,1,1
1175,40,0,1
1176,66,1,1
1177,123,1,1
1178,132,0,1
1179,26,0,0
1180,125,1,1
1181,75,0,1
1182,66,1,1
1183,30,0,1
1184,59,0,0
1185,24,0,0
1186,28,0,0
1187,20,0,0
1188,46,0,1
1189,66,1,1
1190,100,1,0
1191,56,1,0
1192,32,0,1
1193,36,1,0
1194,103,0,1
1195,116,1,1
1196,60,1,0
1197,32,0,1
1198,32,0,1
1199,130,1,1
1200,108,0,1
1201,51,0,1
1202,459,0,1
1203,21,1,1
1204,30,0,1
1205,56,0,1
1206,186,0,1
1207,56,2,1
1208,106,1,0
1209,55,0,1
1210,88,0,1
1211,45,0,1
1212,33,0,0
1213,56,0,1
1214,44,0,0
1215,138,3,0
1216,43,0,0
1217,162,0,1
1218,38,1,1
1219,36,1,0
1220,75,0,1
1221,30,0,0
1222,23,1,0
1223,77,1,1
1224,47,1,0
1225,33,2,1
1226,53,0,0
1227,112,0,1
1228,20,1,1
1229,39,0,0
1230,26,0,0
1231,74,0,0
1232,73,0,1
1233,47,0,1
1234,124,1,1
1235,46,0,1
1236,127,1,1
1237,41,0,1
1238,69,0,0
1239,25,0,1
1240,87,0,0
1241,565,0,1
1242,43,0,0
1243,31,1,1
1244,69,0,1
1245,67,0,0
1246,39,0,1
1247,24,0,0
1248,76,1,1
1249,24,0,1
1250,60,1,1
1251,128,1,1
1252,37,1,1
1253,44,1,1
1254,33,1,1
1255,51,0,0
1256,72,4,0
1257,53,0,1
1258,85,0,0
1259,22,0,0
1260,104,1,1
1261,36,0,1
1262,67,0,1
1263,40,2,1
1264,27,1,0
1265,39,0,0
1266,33,0,1
1267,17,1,0
1268,33,0,1
1269,65,0,0
1270,27,0,1
1271,69,0,1
1272,44,1,0
1273,20,1,0
1274,62,0,1
1275,396,1,1
1276,36,1,1
1277,189,1,1
1278,26,0,1
1279,64,2,0
1280,127,0,1
1281,96,0,0
1282,42,1,1
1283,49,1,1
1284,43,1,1
1285,87,3,0
1286,56,0,0
1287,23,0,0
1288,26,0,0
1289,51,0,1
1290,67,0,1
1291,75,0,1
1292,30,0,0
1293,24,0,0
1294,22,0,1
1295,51,0,1
1296,17,0,1
1297,48,1,0
1298,54,1,0
1299,23,2,0
1300,52,1,0
1301,56,1,0
1302,55,0,0
1303,35,0,0
1304,31,0,1
1305,45,0,0
1306,63,0,0
1307,60,1,1
1308,32,0,1
1309,66,0,1
1310,39,0,1
1311,80,0,0
1312,48,0,1
1313,41,0,0
1314,33,0,1
1315,64,0,0
1316,105,0,1
1317,39,0,1
1318,37,1,0
1319,79,2,0
1320,32,1,0
1321,23,0,1
1322,68,0,1
1323,76,1,1
1324,97,0,0
1325,30,1,1
1326,127,0,1
1327,49,0,1
1328,50,0,1
1329,81,1,1
1330,58,0,1
1331,24,0,0
1332,75,0,1
1333,41,0,0
1334,65,0,0
1335,69,0,1
1336,107,0,0
1337,30,0,1
1338,77,1,1
1339,56,0,0
1340,37,2,0
1341,97,2,0
1342,44,1,0
1343,31,0,0
1344,30,0,0
1345,72,0,1
1346,74,0,0
1347,21,0,0
1348,128,1,1
1349,54,1,0
1350,65,1,0
1351,31,0,0
1352,39,0,1
1353,37,1,1
1354,79,1,0
1355,23,0,0
1356,48,0,0
1357,59,1,1
1358,51,0,1
1359,128,1,1
1360,41,0,0
1361,49,0,1
1362,80,2,0
1363,38,1,1
1364,26,0,0
1365,42,1,1
1366,92,0,1
1367,143,0,1
1368,45,1,1
1369,136,0,1
1370,69,1,0
1371,35,0,1
1372,81,0,0
1373,45,0,0
1374,34,0,1
1375,30,0,1
1376,30,0,1
1377,46,1,0
1378,51,0,1
1379,64,0,0
1380,27,1,0
1381,65,1,0
1382,26,0,0
1383,41,1,1
1384,55,3,1
1385,25,0,0
1386,26,0,0
1387,18,0,0
1388,27,1,0
1389,29,0,1
1390,28,0,0
1391,100,0,1
1392,26,0,0
1393,78,0,0
1394,27,1,0
1395,47,0,0
1396,25,0,0
1397,66,1,0
1398,40,0,0
1399,34,1,1
1400,64,0,0
1401,81,1,0
1402,64,1,1
1403,33,1,1
1404,128,1,1
1405,25,1,0
1406,113,1,1
1407,54,0,1
1408,85,0,1
1409,155,0,1
1410,41,0,0
1411,145,1,1
1412,33,0,1
1413,49,1,0
1414,41,2,0
1415,66,0,1
1416,213,0,1
1417,119,0,1
1418,183,0,1
1419,35,1,1
1420,70,0,1
1421,100,4,1
1422,27,1,0
1423,275,1,1
1424,34,0,0
1425,19,0,1
1426,66,1,1
1427,260,0,1
1428,23,1,0
1429,55,1,0
1430,38,0,1
1431,141,1,0
1432,26,0,0
1433,46,0,0
1434,86,1,0
1435,124,1,1
1436,72,0,1
1437,54,0,0
1438,249,0,1
1439,42,0,1
1440,38,2,1
1441,41,1,1
1442,32,0,1
1443,50,1,0
1444,29,1,0
1445,1386,0,1
1446,58,0,0
1447,39,1,1
1448,92,1,0
1449,93,0,1
1450,47,0,1
1451,76,1,1
1452,44,2,0
1453,20,0,0
1454,19,0,0
1455,38,1,1
1456,199,0,1
1457,31,1,1
1458,26,0,0
1459,45,1,0
1460,24,0,0
1461,68,1,0
1462,58,1,0
1463,31,0,0
1464,148,0,1
1465,181,0,1
1466,40,0,0
1467,59,0,1
1468,79,1,0
1469,39,1,1
1470,30,0,1
1471,29,0,1
1472,81,1,1
1473,68,0,0
1474,29,0,0
1475,20,0,0
1476,38,0,0
1477,61,0,1
1478,81,1,1
1479,45,1,1
1480,49,1,1
1481,127,1,1
1482,32,0,1
1483,24,0,0
1484,40,1,0
1485,58,0,0
1486,210,1,1
1487,47,0,1
1488,34,1,0
1489,20,0,0
1490,52,0,1
1491,59,1,0
1492,29,1,1
1493,53,0,1
1494,48,0,0
1495,24,0,1
1496,92,0,1
1497,40,0,0
1498,56,0,1
1499,276,1,1
1500,87,0,1
1501,28,1,0
1502,66,2,0
1503,110,1,0
1504,72,3,0
1505,70,1,0
1506,34,0,1
1507,40,1,0
1508,47,2,1
1509,39,0,1
1510,21,0,1
1511,76,0,0
1512,39,1,0
1513,110,1,1
1514,54,0,0
1515,31,1,0
1516,83,2,1
1517,24,3,1
1518,275,0,1
1519,87,0,1
1520,61,0,1
1521,163,0,1
1522,49,2,0
1523,43,0,0
1524,37,0,0
1525,59,1,0
1526,40,1,0
1527,43,2,0
1528,138,0,1
1529,53,0,1
1530,23,1,0
1531,29,0,1
1532,70,0,1
1533,34,1,0
1534,34,1,1
1535,90,1,0
1536,62,1,1
1537,30,1,1
1538,33,1,0
1539,106,0,1
1540,16,0,1
1541,42,0,0
1542,57,0,0
1543,38,0,1
1544,75,0,1
1545,45,0,1
1546,110,1,1
1547,47,1,0
1548,99,3,0
1549,36,0,0
1550,45,1,1
1551,67,0,1
1552,32,0,1
1553,32,0,1
1554,29,0,0
1555,91,0,0
1556,34,0,0
1557,34,0,0
1558,42,1,1
1559,22,0,0
1560,37,0,0
1561,13,1,0
1562,79,0,1
1563,55,0,0
1564,36,4,1
1565,94,0,1
1566,123,0,1
1567,26,0,0
1568,48,0,0
1569,113,0,1
1570,24,0,0
1571,22,0,0
1572,72,1,0
1573,26,0,0
1574,52,1,1
1575,26,0,1
1576,70,0,1
1577,46,0,1
1578,49,0,0
1579,87,0,1
1580,63,1,0
1581,44,2,0
1582,75,1,0
1583,60,0,1
1584,21,0,0
1585,72,3,1
1586,22,1,0
1587,59,1,0
1588,93,2,1
1589,21,0,0
1590,42,2,1
1591,96,0,0
1592,31,1,0
1593,18,0,1
1594,31,1,0
1595,24,0,0
1596,32,0,0
1597,38,0,0
1598,38,1,1
1599,64,1,1
1600,61,2,0
1601,28,0,0
1602,41,1,0
1603,43,1,1
1604,26,1,0
1605,28,0,0
1606,22,1,1
1607,77,0,1
1608,144,0,1
1609,43,0,1
1610,106,0,1
1611,54,0,0
1612,52,1,0
1613,39,0,0
1614,23,1,0
1615,29,0,0
1616,61,1,0
1617,38,0,0
1618,41,1,1
1619,51,0,0
1620,29,0,0
1621,106,1,1
1622,57,0,0
1623,116,1,1
1624,32,0,1
1625,23,1,0
1626,41,1,0
1627,71,1,1
1628,79,0,1
1629,29,0,0
1630,119,1,0
1631,458,0,1
1632,46,0,1
1633,104,2,1
1634,58,0,1
1635,83,2,1
1636,77,1,1
1637,69,1,0
1638,16,0,0
1639,78,0,0
1640,52,1,1
1641,27,2,0
1642,28,0,0
1643,50,1,0
1644,73,0,0
1645,35,3,0
1646,37,0,1
1647,97,0,0
1648,25,0,1
1649,43,2,0
1650,49,1,1
1651,27,0,0
1652,77,1,1
1653,75,1,1
1654,32,1,1
1655,49,0,0
1656,45,1,0
1657,148,0,1
1658,64,1,1
1659,28,0,0
1660,68,1,1
1661,76,0,1
1662,124,0,1
