unique_id,n_dots,n_hypens,n_underline,n_slash,n_questionmark,n_equal,n_at,n_and,n_exclamation,n_space,n_tilde,n_comma,n_plus,n_asterisk,n_hastag,n_dollar,n_percent
26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4,9,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0
47,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
51,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
69,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
106,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,24,0,18,0,2,10,1,9,0,0,0,0,0,0,0,0,0
110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
113,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
123,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
127,4,1,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0
128,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
129,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0
142,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
150,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
153,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,5,6,0,0,0,4,1,5,0,1,0,0,0,0,0,0,8
161,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
174,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0
181,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
182,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,4,1,0,0,1,11,0,10,0,0,0,0,0,0,0,0,6
190,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
192,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
195,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2,1,7,0,1,5,0,0,0,0,0,0,0,0,0,0,0
202,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,4,1,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0
215,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,4,1,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0
221,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
225,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
228,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,3,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
233,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34
240,14,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,2
241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
243,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
250,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
254,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
267,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
272,2,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0
273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
279,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,2,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0
282,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
284,4,1,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0
285,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
296,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,3,1,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0
317,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,5,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1
335,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
344,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
355,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,2,1,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0
358,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
364,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,5,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0
370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,3,1,4,0,1,4,0,3,0,0,0,0,0,0,0,0,7
374,2,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
375,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,3,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
379,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
382,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
383,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
